prefixo;numero_titulo;parcela;tipo;cliente_codigo;loja;nome_cliente;dt_emissao;vencimento;vendedor;gerente;Saldo atual
003;28506;;NF;002140;01;ASSOC BENEF C GRANDE;03/06/2025;18/07/2025;PAULO PINHEIRO;AMAURI;R$ 19.200,00
003;31325;;NF;002140;01;ASSOC BENEF C GRANDE;03/11/2025;03/12/2025;PAULO PINHEIRO;AMAURI;R$ 61.530,00
AFI;13696;001;NF;000412;01;ATEC;29/10/2025;28/11/2025;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 9.000,00
AFI;13696;002;NF;000412;01;ATEC;29/10/2025;15/12/2025;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 40.499,36
AFI;13850;;NF;008228;01;LEVAR SAUDE;25/11/2025;29/06/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 1.440,00
AFI;13878;001;NF;000412;01;ATEC;28/11/2025;29/12/2025;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 42.334,06
AFI;13878;002;NF;000412;01;ATEC;28/11/2025;12/01/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 42.334,06
AFI;13967;;NF;004261;01;PREFEITURA JANDIRA;08/12/2025;07/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 24.383,06
AFI;13968;;NF;004261;01;PREFEITURA JANDIRA;08/12/2025;07/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 12.525,96
AFI;13971;;NF;004261;01;PREFEITURA JANDIRA;09/12/2025;08/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 6.729,12
AFI;14020;001;NF;000412;01;ATEC;18/12/2025;19/01/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 43.804,89
AFI;14020;002;NF;000412;01;ATEC;18/12/2025;02/02/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 43.804,89
AFI;14021;;NF;004261;01;PREFEITURA JANDIRA;18/12/2025;19/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 6.578,76
AFI;14022;;NF;004261;01;PREFEITURA JANDIRA;18/12/2025;19/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 3.364,56
AFI;14023;;NF;004261;01;PREFEITURA JANDIRA;18/12/2025;19/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 21.261,91
AFI;14024;;NF;004261;01;PREFEITURA JANDIRA;18/12/2025;19/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 6.578,76
AFI;14025;;NF;004261;01;PREFEITURA JANDIRA;18/12/2025;19/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 3.364,56
AFI;14026;;NF;004261;01;PREFEITURA JANDIRA;18/12/2025;19/01/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 21.261,91
AFI;14036;;NF;008228;01;LEVAR SAUDE;22/12/2025;29/06/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 1.440,00
AFI;14147;;NF;004261;01;PREFEITURA JANDIRA;12/01/2026;11/02/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 43.964,88
AFI;14148;;NF;004261;01;PREFEITURA JANDIRA;12/01/2026;11/02/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 13.157,52
AFI;14149;;NF;004261;01;PREFEITURA JANDIRA;12/01/2026;11/02/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 6.729,12
AFI;14214;001;NF;000412;01;ATEC;23/01/2026;23/02/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 45.404,73
AFI;14214;002;NF;000412;01;ATEC;23/01/2026;09/03/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 45.404,72
AFI;14324;;NF;004261;01;PREFEITURA JANDIRA;13/02/2026;16/03/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 43.964,88
AFI;14325;;NF;004261;01;PREFEITURA JANDIRA;13/02/2026;16/03/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 6.729,12
AFI;14326;;NF;004261;01;PREFEITURA JANDIRA;13/02/2026;16/03/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 13.157,52
AFI;14361;001;NF;000412;01;ATEC;24/02/2026;26/03/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 44.205,06
AFI;14361;002;NF;000412;01;ATEC;24/02/2026;10/04/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 44.205,05
AFI;14370;;NF;002140;01;ASSOC BENEF C GRANDE;25/02/2026;16/03/2026;PAULO PINHEIRO;AMAURI;R$ 188.000,00
AFI;14476;;NF;004261;01;PREFEITURA JANDIRA;11/03/2026;10/04/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 44.108,99
AFI;14477;;NF;004261;01;PREFEITURA JANDIRA;11/03/2026;10/04/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 13.157,52
AFI;14478;;NF;004261;01;PREFEITURA JANDIRA;11/03/2026;10/04/2026;GOLOMBIESKI REPRESENTACOES COMERCIAIS LTDA;AMAURI;R$ 6.729,12
AFI;14559;001;NF;000412;01;ATEC;25/03/2026;24/04/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 45.547,52
AFI;14559;002;NF;000412;01;ATEC;25/03/2026;11/05/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 45.547,52
AFI;14568;;NF;002140;01;ASSOC BENEF C GRANDE;26/03/2026;15/04/2026;PAULO PINHEIRO;AMAURI;R$ 188.000,00
